Material;Packing Type;Numerator;Denom.;Length;Length;Width;Width;Height;Height;Volume;Volume;Gross weight;Gross weight;net weight;net weight
X301584000;PLR;144;1;1 060,00;MM;760;MM;235;MM;206,4;CDM;85 200,00;G;72 720,00;G
X301584000;PLU;840;1;1 200,00;MM;1 000,00;MM;1 090,00;MM;1 308,00;CDM;522 000,00;G;424 200,00;G
X301584000;PRU;210;1;1 190,00;MM;950;MM;235;MM;265,668;CDM;124 250,00;G;106 050,00;G
X301584000;SU;3;1;160;MM;86;MM;215;MM;7,591;CDM;1 750,00;G;1 515,00;G
X301584003;CU;1;1;82;MM;49;MM;210;MM;0,844;CDM;546;G;505;G
X301584003;PAL;576;1;1 200,00;MM;800;MM;1 084,00;MM;1 040,64;CDM;365 184,00;G;290 880,00;G
X301584003;PC;1;1;82;MM;49;MM;210;MM;0,844;CDM;546;G;505;G
X301584003;PLR;144;1;1 200,00;MM;800;MM;235;MM;206,4;CDM;85 296,00;G;72 720,00;G
X301584003;PLU;720;1;1 200,00;MM;1 000,00;MM;1 090,00;MM;1 308,00;CDM;451 480,00;G;363 600,00;G
X301584003;PRU;180;1;1 200,00;MM;1 000,00;MM;235;MM;265,668;CDM;106 620,00;G;90 900,00;G
X301584003;SU;6;1;190;MM;170;MM;235;MM;7,591;CDM;3 554,00;G;3 030,00;G
X301584100;CU;1;1;82;MM;49;MM;210;MM;0,844;CDM;546;G;505;G
X301584100;DU;6;1;190;MM;170;MM;235;MM;7,591;CDM;3 550,00;G;3 030,00;G
X301584100;PAL;576;1;1 200,00;MM;800;MM;1 084,00;MM;1 040,64;CDM;364 800,00;G;290 880,00;G
X301584100;PC;1;1;82;MM;49;MM;210;MM;0,844;CDM;546;G;505;G
X301584100;PLR;144;1;1 060,00;MM;760;MM;235;MM;206,4;CDM;85 200,00;G;72 720,00;G
X301584100;PLU;840;1;1 200,00;MM;1 000,00;MM;1 090,00;MM;1 308,00;CDM;522 000,00;G;424 200,00;G
X301584100;PRU;210;1;1 190,00;MM;950;MM;235;MM;265,668;CDM;124 250,00;G;106 050,00;G
X301584100;SU;3;1;160;MM;86;MM;215;MM;7,591;CDM;1 750,00;G;1 515,00;G
X301584103;CU;1;1;82;MM;49;MM;210;MM;0,844;CDM;546;G;505;G
X301584103;PAL;576;1;1 200,00;MM;800;MM;1 084,00;MM;1 040,64;CDM;366 000,00;G;290 880,00;G
X301584103;PC;1;1;82;MM;49;MM;210;MM;0,844;CDM;546;G;505;G
X301584103;PLR;144;1;1 200,00;MM;800;MM;215;MM;206,4;CDM;84 000,00;G;72 720,00;G
X301584103;PLU;816;1;1 200,00;MM;1 000,00;MM;1 010,00;MM;1 212,00;CDM;508 344,00;G;412 080,00;G
X301584103;PRU;204;1;1 200,00;MM;1 000,00;MM;215;MM;258;CDM;120 836,00;G;103 020,00;G
X301584103;SU;6;1;190;MM;170;MM;235;MM;7,591;CDM;3 550,00;G;3 030,00;G
X301584104;CU;1;1;82;MM;49;MM;210;MM;0,844;CDM;546;G;505;G
X301584104;PAL;576;1;1 200,00;MM;800;MM;1 084,00;MM;1 040,64;CDM;365 184,00;G;290 880,00;G
X301584104;PC;1;1;82;MM;49;MM;210;MM;0,844;CDM;546;G;505;G
X301584104;PLR;144;1;1 200,00;MM;800;MM;235;MM;206,4;CDM;85 296,00;G;72 720,00;G
X301584104;PLU;720;1;1 200,00;MM;1 000,00;MM;1 090,00;MM;1 308,00;CDM;451 480,00;G;363 600,00;G
X301584104;PRU;180;1;1 200,00;MM;1 000,00;MM;235;MM;265,668;CDM;106 620,00;G;90 900,00;G
X301584104;SU;6;1;190;MM;170;MM;235;MM;7,591;CDM;3 554,00;G;3 030,00;G
X301584901;CU;1;1;48;MM;77;MM;152;MM;0,562;CDM;146;G;125;G
X301584901;DU;24;1;207;MM;57;MM;152;MM;1,793;CDM;3 991,00;G;3 000,00;G
X301584901;PC;1;1;48;MM;77;MM;152;MM;0,562;CDM;146;G;125;G
X301584901;PLU;1 560;1;1 200,00;MM;1 000,00;MM;1 085,00;MM;1 302,00;CDM;289 415,00;G;195 000,00;G
X301584901;PRU;312;1;1 200,00;MM;1 000,00;MM;190;MM;228;CDM;51 883,00;G;39 000,00;G
X301584901;SU;4;1;48;MM;77;MM;152;MM;0,562;CDM;624;G;500;G
X301584902;CU;1;1;48;MM;77;MM;152;MM;0,562;CDM;146;G;125;G
X301584902;PAL;1 872;1;1 200,00;MM;800;MM;1 056,00;MM;1 019,52;CDM;302 460,00;G;234 000,00;G
X301584902;PC;1;1;48;MM;77;MM;152;MM;0,562;CDM;146;G;125;G
X301584902;PLR;312;1;1 199,00;MM;786;MM;152;MM;145,92;CDM;46 410,00;G;39 000,00;G
X301584902;PLU;3 136;1;1 200,00;MM;1 000,00;MM;1 366,00;MM;1 639,20;CDM;491 480,00;G;392 000,00;G
X301584902;PRU;392;1;1 199,00;MM;989;MM;152;MM;180,243;CDM;58 310,00;G;49 000,00;G
X301584902;SU;4;1;203;MM;59;MM;152;MM;0,562;CDM;595;G;500;G
X301585000;CU;1;1;48;MM;77;MM;122;MM;0,451;CDM;120;G;100;G
X301585000;PAL;1 960;1;1 200,00;MM;800;MM;1 299,00;MM;1 051,20;CDM;278 800,00;G;196 000,00;G
X301585000;PC;1;1;48;MM;77;MM;122;MM;0,451;CDM;120;G;100;G
X301585000;PLR;280;1;1 198,00;MM;732;MM;165;MM;158,4;CDM;36 400,00;G;28 000,00;G
X301585000;PLU;2 944;1;1 200,00;MM;1 000,00;MM;1 470,00;MM;1 764,00;CDM;407 720,00;G;294 400,00;G
X301585000;PRU;368;1;1 198,00;MM;976;MM;165;MM;192,926;CDM;47 840,00;G;36 800,00;G
X301585000;SU;4;1;203;MM;61;MM;165;MM;2,043;CDM;520;G;400;G
X301585100;CU;1;1;48;MM;77;MM;152;MM;0,562;CDM;178;G;150;G
X301585100;PAL;1 400;1;1 200,00;MM;800;MM;969;MM;936;CDM;284 400,00;G;210 000,00;G
X301585100;PC;1;1;48;MM;77;MM;152;MM;0,562;CDM;178;G;150;G
X301585100;PLR;280;1;1 140,00;MM;750;MM;165;MM;158,4;CDM;52 080,00;G;42 000,00;G
X301585100;PLU;1 980;1;1 200,00;MM;1 000,00;MM;975;MM;1 170,00;CDM;393 280,00;G;297 000,00;G
X301585100;PRU;396;1;1 197,00;MM;987;MM;165;MM;194,937;CDM;73 656,00;G;59 400,00;G
X301585100;SU;4;1;204;MM;57;MM;165;MM;1,919;CDM;744;G;600;G
X301585101;CU;1;1;48;MM;88;MM;152;MM;0,642;CDM;178;G;150;G
X301585101;DU;24;1;365;MM;218;MM;190;MM;15,118;CDM;4 777,00;G;3 600,00;G
X301585101;PC;1;1;48;MM;88;MM;152;MM;0,642;CDM;178;G;150;G
X301585101;PLU;1 560;1;1 200,00;MM;1 000,00;MM;1 085,00;MM;1 302,00;CDM;340 505,00;G;234 000,00;G
X301585101;PRU;312;1;1 200,00;MM;1 000,00;MM;190;MM;228;CDM;62 101,00;G;46 800,00;G
X301585101;SU;4;1;203;MM;61;MM;165;MM;2,043;CDM;755;G;600;G
X301616300;CU;1;1;18;MM;18;MM;70;MM;0,023;CDM;12,7;G;4,5;G
X301616300;PAL;8 208;1;1 200,00;MM;800;MM;1 128,00;MM;1 082,88;CDM;192 400,80;G;36 936,00;G
X301616300;PC;1;1;18;MM;18;MM;70;MM;0,023;CDM;12,7;G;4,5;G
X301616300;PLR;684;1;1 200,00;MM;800;MM;82;MM;78,72;CDM;14 033,40;G;3 078,00;G
X301616300;PLU;10 368;1;1 200,00;MM;1 000,00;MM;1 134,00;MM;1 360,80;CDM;237 716,80;G;46 656,00;G
X301616300;PRU;864;1;1 200,00;MM;1 000,00;MM;82;MM;98,4;CDM;17 726,40;G;3 888,00;G
X301616300;SU;12;1;198;MM;83;MM;82;MM;1,348;CDM;246,2;G;54;G
X301616602;CU;1;1;52;MM;33;MM;134;MM;0,23;CDM;44;G;34;G
X301616602;PAL;1 728;1;1 200,00;MM;800;MM;784;MM;752,64;CDM;191 904,00;G;58 752,00;G
X301616602;PC;1;1;52;MM;33;MM;134;MM;0,23;CDM;44;G;34;G
X301616602;PLR;432;1;1 180,00;MM;800;MM;160;MM;151,04;CDM;41 976,00;G;14 688,00;G
X301616602;PLU;2 160;1;1 200,00;MM;1 000,00;MM;790;MM;948;CDM;234 880,00;G;73 440,00;G
X301616602;PRU;540;1;1 200,00;MM;975;MM;160;MM;187,2;CDM;52 470,00;G;18 360,00;G
X301616602;SU;6;1;200;MM;65;MM;160;MM;2,08;CDM;583;G;204;G
X301616700;CU;1;1;30;MM;30;MM;99;MM;0,089;CDM;38;G;28;G
X301616700;PC;1;1;30;MM;30;MM;99;MM;0,089;CDM;38;G;28;G
X301616700;PLU;8 400;1;1 200,00;MM;1 000,00;MM;983;MM;1 179,60;CDM;408 000,00;G;235 200,00;G
X301616700;PRU;1 200;1;1 200,00;MM;1 000,00;MM;107;MM;128,4;CDM;54 000,00;G;33 600,00;G
X301616700;SU;100;1;360;MM;240;MM;107;MM;9,245;CDM;4 500,00;G;2 800,00;G
X301616800;CU;1;1;30;MM;30;MM;99;MM;0,089;CDM;38;G;28;G
X301616800;PC;1;1;30;MM;30;MM;99;MM;0,089;CDM;38;G;28;G
X301616800;PLU;8 400;1;1 200,00;MM;1 000,00;MM;983;MM;1 179,60;CDM;408 000,00;G;235 200,00;G
X301616800;PRU;1 200;1;1 200,00;MM;1 000,00;MM;107;MM;128,4;CDM;54 000,00;G;33 600,00;G
X301616800;SU;100;1;360;MM;240;MM;107;MM;9,245;CDM;4 500,00;G;2 800,00;G
X301632403;CU;1;1;140;MM;70;MM;19;MM;0,186;CDM;59;G;53;G
X301632403;PAL;2 880;1;1 200,00;MM;800;MM;1 044,00;MM;1 002,24;CDM;211 680,00;G;152 640,00;G
X301632403;PC;1;12;0;;0;;0;;0;CDM;0;G;53;G
X301632403;PLR;480;1;1 200,00;MM;768;MM;150;MM;138,24;CDM;31 280,00;G;25 440,00;G
X301632403;PLU;3 600;1;1 200,00;MM;1 000,00;MM;1 050,00;MM;1 375,20;CDM;259 600,00;G;190 800,00;G
X301632403;PRU;600;1;1 200,00;MM;960;MM;150;MM;190,467;CDM;39 100,00;G;31 800,00;G
X301632403;SU;12;1;240;MM;96;MM;150;MM;6,512;CDM;782;G;636;G
X301632503;CU;1;1;140;MM;70;MM;19;MM;0,186;CDM;59;G;53;G
X301632503;PAL;2 880;1;1 200,00;MM;800;MM;1 044,00;MM;1 002,24;CDM;211 680,00;G;152 640,00;G
X301632503;PC;1;12;140;MM;70;MM;19;MM;0,186;CDM;59;G;53;G
X301632503;PLR;480;1;1 200,00;MM;768;MM;150;MM;138,24;CDM;31 280,00;G;25 440,00;G
X301632503;PLU;3 600;1;1 200,00;MM;1 000,00;MM;1 050,00;MM;1 274,40;CDM;259 600,00;G;190 800,00;G
X301632503;PRU;600;1;1 200,00;MM;960;MM;150;MM;165,888;CDM;39 100,00;G;31 800,00;G
X301632503;SU;12;1;240;MM;96;MM;150;MM;3,456;CDM;782;G;636;G
X301632601;CU;1;1;140;MM;70;MM;19;MM;0,186;CDM;59;G;53;G
X301632601;PAL;2 880;1;1 200,00;MM;800;MM;1 044,00;MM;1 002,24;CDM;211 680,00;G;152 640,00;G
X301632601;PC;1;12;0;;0;;0;;0;CDM;0;;53;G
X301632601;PLR;480;1;1 200,00;MM;768;MM;150;MM;138,24;CDM;31 280,00;G;25 440,00;G
X301632601;PLU;3 600;1;1 200,00;MM;1 000,00;MM;1 062,00;MM;1 274,40;CDM;259 600,00;G;190 800,00;G
X301632601;PRU;600;1;1 200,00;MM;960;MM;150;MM;172,8;CDM;39 100,00;G;31 800,00;G
X301632601;SU;12;1;240;MM;96;MM;150;MM;3,456;CDM;782;G;636;G
X301632603;CU;1;1;140;MM;70;MM;19;MM;0,186;CDM;59;G;53;G
X301632603;PAL;2 880;1;1 200,00;MM;800;MM;1 044,00;MM;1 002,24;CDM;211 680,00;G;152 640,00;G
X301632603;PC;1;12;140;MM;70;MM;19;MM;0,186;CDM;59;G;53;G
X301632603;PLR;480;1;1 200,00;MM;768;MM;150;MM;138,24;CDM;31 280,00;G;25 440,00;G
X301632603;PLU;3 600;1;1 200,00;MM;1 000,00;MM;1 050,00;MM;1 260,00;CDM;259 600,00;G;190 800,00;G
X301632603;PRU;600;1;1 200,00;MM;960;MM;150;MM;172,8;CDM;39 100,00;G;31 800,00;G
X301632603;SU;12;1;240;MM;96;MM;150;MM;3,456;CDM;782;G;636;G
X301632703;CU;1;1;140;MM;70;MM;19;MM;0,197;CDM;59;G;53;G
X301632703;PAL;2 880;1;1 200,00;MM;800;MM;1 044,00;MM;1 002,24;CDM;211 680,00;G;152 640,00;G
X301632703;PC;1;12;0;;0;;0;;0;CDM;0;;53;G
X301632703;PLR;480;1;1 200,00;MM;768;MM;150;MM;138,24;CDM;31 280,00;G;25 440,00;G
X301632703;PLU;3 600;1;1 200,00;MM;1 000,00;MM;1 050,00;MM;1 260,00;CDM;259 600,00;G;190 800,00;G
X301632703;PRU;600;1;1 200,00;MM;960;MM;150;MM;172,8;CDM;39 100,00;G;31 800,00;G
X301632703;SU;12;1;240;MM;96;MM;150;MM;3,456;CDM;782;G;636;G
X301632803;CU;1;1;220;MM;110;MM;27;MM;0,653;CDM;248;G;240;G
X301632803;PAL;2 000;1;1 200,00;MM;800;MM;1 800,00;MM;1 728,00;CDM;547 800,00;G;480 000,00;G
X301632803;PC;1;40;0;;0;;0;;0;CDM;0;;240;G
X301632803;PLR;250;1;1 200,00;MM;792;MM;207;MM;196,733;CDM;65 475,00;G;60 000,00;G
X301632803;PLU;1 600;1;1 200,00;MM;1 000,00;MM;1 197,00;MM;1 436,40;CDM;444 040,00;G;384 000,00;G
X301632803;PRU;320;1;1 200,00;MM;1 000,00;MM;207;MM;248,4;CDM;83 808,00;G;76 800,00;G
X301632803;SU;10;1;123;MM;300;MM;207;MM;7,638;CDM;2 619,00;G;2 400,00;G
X301649701;CU;1;1;65;MM;40;MM;100;MM;0,26;CDM;212;G;200;G
X301649701;PC;1;1;65;MM;40;MM;100;MM;0,26;CDM;212;G;200;G
X301649701;PLU;2 688;1;1 200,00;MM;1 000,00;MM;1 150,00;MM;1 380,00;CDM;675 120,00;G;537 600,00;G
X301649701;PRU;336;1;1 200,00;MM;1 000,00;MM;125;MM;150;CDM;80 640,00;G;67 200,00;G
X301649701;SU;8;1;175;MM;155;MM;125;MM;3,391;CDM;1 920,00;G;1 600,00;G
X301649702;CU;1;1;65;MM;40;MM;100;MM;0,26;CDM;212;G;200;G
X301649702;PAL;2 640;1;1 200,00;MM;800;MM;1 400,00;MM;1 344,00;CDM;663 600,00;G;528 000,00;G
X301649702;PC;1;1;65;MM;40;MM;100;MM;0,26;CDM;212;G;200;G
X301649702;PLR;264;1;1 200,00;MM;800;MM;125;MM;120;CDM;63 360,00;G;52 800,00;G
X301649702;PLU;2 240;1;1 200,00;MM;1 000,00;MM;1 025,00;MM;1 230,00;CDM;562 600,00;G;448 000,00;G
X301649702;PRU;320;1;1 200,00;MM;1 000,00;MM;125;MM;150;CDM;76 800,00;G;64 000,00;G
X301649702;SU;8;1;175;MM;155;MM;125;MM;3,391;CDM;1 920,00;G;1 600,00;G
X301649801;CU;1;1;65;MM;40;MM;100;MM;0,26;CDM;212;G;200;G
X301649801;PC;1;1;65;MM;40;MM;100;MM;0,26;CDM;212;G;200;G
X301649801;PLU;2 688;1;1 200,00;MM;1 000,00;MM;1 150,00;MM;1 380,00;CDM;675 120,00;G;537 600,00;G
X301649801;PRU;336;1;1 200,00;MM;1 000,00;MM;125;MM;150;CDM;80 640,00;G;67 200,00;G
X301649801;SU;8;1;175;MM;155;MM;125;MM;3,391;CDM;1 920,00;G;1 600,00;G
X301649900;CU;1;1;65;MM;40;MM;100;MM;0,26;CDM;212;G;200;G
X301649900;PAL;2 640;1;1 200,00;MM;800;MM;1 394,00;MM;1 338,24;CDM;657 600,00;G;528 000,00;G
X301649900;PC;1;1;65;MM;40;MM;100;MM;0,26;CDM;212;G;200;G
X301649900;PLR;264;1;1 185,00;MM;775;MM;125;MM;114,797;CDM;63 360,00;G;52 800,00;G
X301649900;PLU;2 240;1;1 200,00;MM;1 000,00;MM;1 025,00;MM;1 230,00;CDM;562 600,00;G;448 000,00;G
X301649900;PRU;320;1;1 185,00;MM;930;MM;125;MM;137,756;CDM;76 800,00;G;64 000,00;G
X301649900;SU;8;1;175;MM;155;MM;125;MM;3,391;CDM;1 920,00;G;1 600,00;G
X301649901;CU;1;1;65;MM;40;MM;100;MM;0,26;CDM;212;G;200;G
X301649901;PC;1;1;65;MM;40;MM;100;MM;0,26;CDM;212;G;200;G
X301649901;PLU;2 688;1;1 200,00;MM;1 000,00;MM;1 150,00;MM;1 380,00;CDM;675 120,00;G;537 600,00;G
X301649901;PRU;336;1;1 200,00;MM;1 000,00;MM;125;MM;150;CDM;80 640,00;G;67 200,00;G
X301649901;SU;8;1;175;MM;155;MM;125;MM;3,391;CDM;1 920,00;G;1 600,00;G
X301650100;CU;1;1;70;MM;70;MM;35;MM;0,172;CDM;97;G;75;G
X301650100;PAL;5 120;1;1 200,00;MM;800;MM;1 456,00;MM;1 397,76;CDM;561 600,00;G;384 000,00;G
X301650100;PC;1;1;70;MM;70;MM;35;MM;0,172;CDM;97;G;75;G
X301650100;PLR;160;1;1 192,00;MM;745;MM;41;MM;36,41;CDM;16 800,00;G;12 000,00;G
X301650100;PLU;5 184;1;1 200,00;MM;1 000,00;MM;1 257,00;MM;1 508,40;CDM;569 320,00;G;388 800,00;G
X301650100;PRU;192;1;1 192,00;MM;894;MM;41;MM;43,692;CDM;20 160,00;G;14 400,00;G
X301650100;SU;4;1;149;MM;149;MM;41;MM;0,91;CDM;420;G;300;G
X301650101;CU;1;1;70;MM;70;MM;35;MM;0,172;CDM;97;G;75;G
X301650101;PAL;5 120;1;1 200,00;MM;800;MM;1 456,00;MM;1 397,76;CDM;561 600,00;G;384 000,00;G
X301650101;PC;1;1;70;MM;70;MM;35;MM;0,172;CDM;97;G;75;G
X301650101;PLR;160;1;1 192,00;MM;745;MM;41;MM;36,41;CDM;16 800,00;G;12 000,00;G
X301650101;PLU;5 184;1;1 200,00;MM;1 000,00;MM;1 257,00;MM;1 508,40;CDM;569 320,00;G;388 800,00;G
X301650101;PRU;192;1;1 192,00;MM;894;MM;41;MM;43,692;CDM;20 160,00;G;14 400,00;G
X301650101;SU;4;1;149;MM;149;MM;41;MM;0,91;CDM;420;G;300;G
X301658600;CU;1;1;70;MM;70;MM;26;MM;0,127;CDM;70;G;63;G
X301658600;PAL;7 040;1;1 200,00;MM;800;MM;1 376,00;MM;1 320,96;CDM;574 880,00;G;443 520,00;G
X301658600;PC;1;1;70;MM;70;MM;26;MM;0,127;CDM;70;G;63;G
X301658600;PLR;440;1;1 200,00;MM;790;MM;77;MM;72,996;CDM;34 430,00;G;27 720,00;G
X301658600;PLU;7 280;1;1 200,00;MM;1 000,00;MM;1 228,00;MM;1 473,60;CDM;594 660,00;G;458 640,00;G
X301658600;PRU;520;1;1 130,00;MM;976;MM;77;MM;92,4;CDM;40 690,00;G;32 760,00;G
X301658600;SU;4;1;113;MM;75;MM;77;MM;0,653;CDM;313;G;252;G
X301665801;CU;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;141;G;76;G
X301665801;PAL;3 888;1;1 200,00;MM;800;MM;1 704,00;MM;1 511,04;CDM;607 200,00;G;295 488,00;G
X301665801;PC;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;141;G;76;G
X301665801;PLR;324;1;1 197,00;MM;770;MM;130;MM;119,82;CDM;48 600,00;G;24 624,00;G
X301665801;PLU;3 168;1;1 200,00;MM;1 000,00;MM;1 190,00;MM;1 428,00;CDM;500 200,00;G;240 768,00;G
X301665801;PRU;396;1;1 141,00;MM;945;MM;130;MM;156;CDM;59 400,00;G;30 096,00;G
X301665801;SU;6;1;154;MM;105;MM;130;MM;1,461;CDM;900;G;456;G
X301665902;CU;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;113;G;77;G
X301665902;PAL;3 888;1;1 200,00;MM;800;MM;1 704,00;MM;1 511,04;CDM;607 200,00;G;299 376,00;G
X301665902;PC;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;113;G;77;G
X301665902;PLR;324;1;1 197,00;MM;770;MM;130;MM;119,82;CDM;48 600,00;G;24 948,00;G
X301665902;PLU;3 168;1;1 200,00;MM;1 000,00;MM;1 190,00;MM;1 428,00;CDM;500 200,00;G;243 936,00;G
X301665902;PRU;396;1;1 141,00;MM;945;MM;130;MM;156;CDM;59 400,00;G;30 492,00;G
X301665902;SU;6;1;154;MM;105;MM;130;MM;1,461;CDM;900;G;462;G
X301666000;CU;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;113;G;77;G
X301666000;PAL;3 888;1;1 200,00;MM;800;MM;1 704,00;MM;1 635,84;CDM;510 000,00;G;299 376,00;G
X301666000;PC;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;113;G;77;G
X301666000;PLR;324;1;1 200,00;MM;800;MM;130;MM;124,8;CDM;40 500,00;G;24 948,00;G
X301666000;PLU;3 168;1;1 200,00;MM;1 000,00;MM;1 190,00;MM;1 428,00;CDM;411 000,00;G;243 936,00;G
X301666000;PRU;396;1;1 200,00;MM;1 000,00;MM;130;MM;156;CDM;49 500,00;G;30 492,00;G
X301666000;SU;6;1;154;MM;105;MM;130;MM;2,102;CDM;750;G;462;G
X301666001;CU;1;1;49;MM;49;MM;94;MM;0,226;CDM;113;G;77;G
X301666001;PAL;3 240;1;1 200,00;MM;800;MM;1 244,00;MM;1 194,24;CDM;429 000,00;G;249 480,00;G
X301666001;PC;1;1;49;MM;49;MM;94;MM;0,226;CDM;113;G;77;G
X301666001;PLR;324;1;1 200,00;MM;800;MM;110;MM;105,6;CDM;40 500,00;G;24 948,00;G
X301666001;PLU;3 888;1;1 200,00;MM;1 000,00;MM;1 140,00;MM;1 368,00;CDM;511 000,00;G;299 376,00;G
X301666001;PRU;432;1;1 200,00;MM;1 000,00;MM;110;MM;132;CDM;54 000,00;G;33 264,00;G
X301666001;SU;6;1;148;MM;99;MM;110;MM;1,612;CDM;750;G;462;G
X301666100;CU;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;113;G;77;G
X301666100;PAL;3 888;1;1 200,00;MM;800;MM;1 704,00;MM;1 635,84;CDM;510 000,00;G;299 376,00;G
X301666100;PC;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;113;G;77;G
X301666100;PLR;324;1;1 200,00;MM;800;MM;130;MM;124,8;CDM;40 500,00;G;24 948,00;G
X301666100;PLU;3 168;1;1 200,00;MM;1 000,00;MM;1 190,00;MM;1 428,00;CDM;421 000,00;G;243 936,00;G
X301666100;PRU;396;1;1 200,00;MM;1 000,00;MM;130;MM;156;CDM;49 500,00;G;30 492,00;G
X301666100;SU;6;1;154;MM;105;MM;130;MM;2,102;CDM;750;G;462;G
X301666101;CU;1;1;47,5;MM;47,5;MM;108;MM;0,226;CDM;141;G;76;G
X301666101;PAL;3 888;1;1 200,00;MM;800;MM;1 704,00;MM;1 511,04;CDM;607 200,00;G;295 488,00;G
X301666101;PC;1;1;47,5;MM;47,5;MM;108;MM;0,226;CDM;141;G;76;G
X301666101;PLR;324;1;1 197,00;MM;770;MM;130;MM;119,82;CDM;48 600,00;G;24 624,00;G
X301666101;PLU;3 168;1;1 200,00;MM;1 000,00;MM;1 190,00;MM;1 428,00;CDM;500 200,00;G;240 768,00;G
X301666101;PRU;396;1;1 141,00;MM;945;MM;130;MM;156;CDM;59 400,00;G;30 096,00;G
X301666101;SU;6;1;154;MM;105;MM;130;MM;1,191;CDM;900;G;456;G
X301746700;CU;1;1;54;MM;54;MM;206;MM;0,601;CDM;200;G;200;G
X301746700;PAL;1 680;1;1 200,00;MM;800;MM;1 392,00;MM;1 346,88;CDM;362 100,00;G;336 000,00;G
X301746700;PC;1;1;54;MM;54;MM;206;MM;0,601;CDM;200;G;200;G
X301746700;PLR;280;1;1 200,00;MM;799;MM;208;MM;199,68;CDM;56 350,00;G;56 000,00;G
X301746700;PLU;2 040;1;1 200,00;MM;1 000,00;MM;1 398,00;MM;1 677,60;CDM;435 550,00;G;408 000,00;G
X301746700;PRU;340;1;1 180,00;MM;985;MM;208;MM;241,758;CDM;68 425,00;G;68 000,00;G
X301746700;SU;4;1;227;MM;59;MM;208;MM;2,786;CDM;805;G;800;G
X301746800;CU;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;115;G;75;G
X301746800;PAL;2 400;1;1 200,00;MM;800;MM;1 184,00;MM;1 136,64;CDM;390 000,00;G;180 000,00;G
X301746800;PC;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;141;G;75;G
X301746800;PLR;300;1;1 200,00;MM;800;MM;130;MM;124,8;CDM;45 000,00;G;22 500,00;G
X301746800;SU;6;1;154;MM;105;MM;130;MM;1,461;CDM;900;G;450;G
X301746801;CU;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;141;G;141;G
X301746801;PAL;2 400;1;1 200,00;MM;800;MM;1 184,00;MM;1 136,64;CDM;384 000,00;G;338 400,00;G
X301746801;PC;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;141;G;141;G
X301746801;PLR;300;1;1 200,00;MM;800;MM;130;MM;124,8;CDM;45 000,00;G;42 300,00;G
X301746801;PLU;3 168;1;1 200,00;MM;1 000,00;MM;1 190,00;MM;1 428,00;CDM;500 200,00;G;446 688,00;G
X301746801;PRU;394;1;1 200,00;MM;1 000,00;MM;130;MM;156;CDM;59 400,00;G;55 554,00;G
X301746801;SU;6;1;154;MM;105;MM;130;MM;1,461;CDM;900;G;846;G
X301746900;CU;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;113;G;77;G
X301746900;PAL;2 400;1;1 200,00;MM;800;MM;1 184,00;MM;1 136,64;CDM;324 000,00;G;184 800,00;G
X301746900;PC;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;113;G;77;G
X301746900;PLR;300;1;1 200,00;MM;800;MM;130;MM;124,8;CDM;37 500,00;G;23 100,00;G
X301746900;PLU;3 168;1;1 200,00;MM;1 000,00;MM;1 190,00;MM;1 428,00;CDM;421 000,00;G;243 936,00;G
X301746900;PRU;396;1;1 200,00;MM;1 000,00;MM;130;MM;156;CDM;49 500,00;G;30 492,00;G
X301746900;SU;6;1;154;MM;105;MM;130;MM;2,102;CDM;750;G;462;G
X301746901;CU;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;113;G;77;G
X301746901;PAL;2 400;1;1 200,00;MM;800;MM;1 184,00;MM;1 136,64;CDM;324 000,00;G;184 800,00;G
X301746901;PC;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;113;G;77;G
X301746901;PLR;300;1;1 200,00;MM;800;MM;130;MM;124,8;CDM;37 500,00;G;23 100,00;G
X301746901;PLU;3 168;1;1 200,00;MM;1 000,00;MM;1 190,00;MM;1 428,00;CDM;421 000,00;G;243 936,00;G
X301746901;PRU;396;1;1 200,00;MM;1 000,00;MM;130;MM;156;CDM;49 500,00;G;30 492,00;G
X301746901;SU;6;1;154;MM;105;MM;130;MM;2,102;CDM;750;G;462;G
X301747000;CU;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;141;G;141;G
X301747000;PAL;2 400;1;1 200,00;MM;800;MM;1 184,00;MM;1 136,64;CDM;390 000,00;G;338 400,00;G
X301747000;PC;1;1;47,5;MM;47,5;MM;108;MM;0,244;CDM;141;G;141;G
