Material;Packing Type;Numerator;Denom.;Length;Length;Width;Width;Height;Height;Volume;Volume;Gross weight;Gross weight;net weight;net weight
7000886D;PLR;768;1;1 200,00;MM;716;MM;198;MM;188,16;CDM;39 680,00;G;35 735,04;G
7000886D;PLU;5 760;1;1 200,00;MM;1 000,00;MM;1 338,00;MM;1 635,60;CDM;322 600,00;G;268 012,80;G
7000886D;PRU;960;1;1 200,00;MM;800;MM;1 530,00;MM;235,2;CDM;49 600,00;G;44 668,80;G
7000886D;SU;6;1;87;MM;73;MM;188;MM;1,254;CDM;310;G;279,18;G
70008910;CU;1;1;95;MM;250;MM;30;MM;0,713;CDM;95,333;G;69,894;G
70008910;DU;72;1;600;MM;400;MM;265;MM;63,6;CDM;7 440,00;G;5 032,37;G
70008910;PAL;1 728;1;1 200,00;MM;800;MM;1 740,00;MM;1 670,40;CDM;203 560,00;G;120 776,83;G
70008910;PC;1;1;0;;0;;0;;0;CDM;0;;69,894;G
70008910;PLR;288;1;1 200,00;MM;800;MM;265;MM;254,4;CDM;29 760,00;G;20 129,47;G
70008910;SU;6;1;190;MM;100;MM;255;MM;4,845;CDM;572;G;419,364;G
70008920;CU;1;1;95;MM;250;MM;30;MM;0,713;CDM;102,66;G;92,394;G
70008920;DU;72;1;600;MM;400;MM;254;MM;60,96;CDM;8 760,00;G;6 652,37;G
70008920;PAL;1 728;1;1 200,00;MM;800;MM;1 674,00;MM;1 607,04;CDM;234 240,00;G;159 656,83;G
70008920;PC;1;1;0;;0;;0;;0;CDM;0;;92,394;G
70008920;PLR;288;1;1 200,00;MM;800;MM;254;MM;243,84;CDM;35 040,00;G;26 609,47;G
70008920;SU;6;1;190;MM;100;MM;255;MM;4,845;CDM;685,96;G;554,364;G
70008930;CU;1;1;60;MM;185;MM;25;MM;0,278;CDM;57,82;G;49,43;G
70008930;DU;48;1;376;MM;282;MM;200;MM;22,04;CDM;3 315,00;G;2 372,64;G
70008930;PAL;2 688;1;1 200,00;MM;800;MM;1 544,00;MM;1 488,00;CDM;209 640,00;G;132 867,84;G
70008930;PC;1;1;0;;0;;0;;0;CDM;57,82;G;49,43;G
70008930;PLR;384;1;1 128,00;MM;752;MM;200;MM;192;CDM;26 520,00;G;18 981,12;G
70008930;PLU;2 880;1;1 200,00;MM;1 000,00;MM;1 350,00;MM;1 635,60;CDM;223 900,00;G;142 358,40;G
70008930;PRU;480;1;1 160,00;MM;960;MM;200;MM;240;CDM;33 150,00;G;23 726,40;G
70008930;SU;6;1;135;MM;85;MM;188;MM;2,41;CDM;382;G;296,58;G
7000898D;CU;1;1;185;MM;85;MM;23;MM;0,362;CDM;38,33;G;34,497;G
7000898D;DU;60;1;531;MM;226;MM;196;MM;23,521;CDM;2 300,00;G;2 069,82;G
7000898D;PAL;2 940;1;1 200,00;MM;800;MM;1 522,00;MM;1 461,12;CDM;132 000,00;G;101 421,18;G
7000898D;PC;1;1;0;;0;;0;;0;CDM;0;;34,497;G
7000898D;PLR;420;1;1 200,00;MM;800;MM;196;MM;188,16;CDM;16 800,00;G;14 488,74;G
7000898D;SU;10;1;215;MM;87;MM;188;MM;3,517;CDM;383,3;G;344,97;G
7000902B;CU;1;1;25;MM;85;MM;185;MM;0,393;CDM;76,6;G;63,8;G
7000902B;DU;36;1;398;MM;263;MM;200;MM;20,226;CDM;3 403,00;G;2 296,80;G
7000902B;PAL;2 268;1;1 200,00;MM;800;MM;1 544,00;MM;1 447,68;CDM;238 389,00;G;144 698,40;G
7000902B;PC;1;1;0;;0;;0;;0;CDM;0;;63,8;G
7000902B;PLR;324;1;1 185,00;MM;780;MM;200;MM;186,24;CDM;30 627,00;G;20 671,20;G
7000902B;PLU;2 160;1;1 200,00;MM;1 000,00;MM;1 350,00;MM;1 620,00;CDM;229 180,00;G;137 808,00;G
7000902B;PRU;360;1;1 185,00;MM;925;MM;200;MM;219,225;CDM;34 030,00;G;22 968,00;G
7000902B;SU;3;1;87;MM;79;MM;187;MM;1,315;CDM;264;G;191,4;G
7000910G;CU;1;1;10;MM;85;MM;185;MM;0,157;CDM;38;G;36,625;G
7000910G;DU;72;1;400;MM;261;MM;199;MM;20,776;CDM;3 036,00;G;2 637,00;G
7000910G;PAL;4 536;1;1 200,00;MM;800;MM;1 543,00;MM;1 481,28;CDM;216 268,00;G;166 131,00;G
7000910G;PC;1;1;0;;0;;0;;0;CDM;0;;36,625;G
7000910G;PLR;648;1;1 200,00;MM;800;MM;199;MM;191,04;CDM;27 324,00;G;23 733,00;G
7000910G;SU;6;1;80;MM;87;MM;185;MM;1,288;CDM;228;G;219,75;G
7000911D;CU;1;1;9;MM;85;MM;185;MM;0,142;CDM;39;G;28;G
7000911D;DU;72;1;398;MM;263;MM;200;MM;20,8;CDM;3 463,00;G;2 016,00;G
7000911D;PAL;4 536;1;1 200,00;MM;800;MM;1 544,00;MM;1 488,00;CDM;242 169,00;G;127 008,00;G
7000911D;PC;1;1;0;;0;;0;;0;CDM;0;;28;G
7000911D;PLR;648;1;1 185,00;MM;780;MM;200;MM;192;CDM;31 167,00;G;18 144,00;G
7000911D;PLU;4 320;1;1 200,00;MM;1 000,00;MM;1 350,00;MM;1 620,00;CDM;232 780,00;G;120 960,00;G
7000911D;PRU;720;1;1 185,00;MM;925;MM;200;MM;219,225;CDM;34 630,00;G;20 160,00;G
7000911D;SU;6;1;87;MM;79;MM;187;MM;1,055;CDM;269;G;168;G
7000912D;CU;1;1;10;MM;85;MM;185;MM;0,157;CDM;43,333;G;40,375;G
7000912D;DU;72;1;358;MM;300;MM;196;MM;21,05;CDM;3 350,00;G;2 907,00;G
7000912D;PAL;4 032;1;1 200,00;MM;800;MM;1 522,00;MM;1 461,12;CDM;212 600,00;G;162 792,00;G
7000912D;PC;1;1;0;;0;;0;;0;CDM;0;;40,375;G
