Material,AUn,Numeratr,Denom.,Length,Length.1,Width,Width.1,Height,Height.1,Volume,Volume.1,Gross weight,Gross weight.1,net weight,net weight.1,AUn.1
7006702B,SU,20,1.0,"581,000",MM,"327,000",MM,"261,000",MM,"49,587",CDM,"3 856,800",G,"3 264,000",G,
7006702F,CU,1,1.0,"50,000",MM,"165,000",MM,"230,000",MM,"1,898",CDM,"105,800",G,"97,600",G,
7006702F,PAL,600,1.0,"1 200,000",MM,"800,000",MM,"1 566,000",MM,"1 503,360",CDM,"149 472,000",G,"58 560,000",G,
7006702F,PC,1,8.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"97,600",G,
7006702F,PLR,100,1.0,"1 200,000",MM,"800,000",MM,"237,000",MM,"227,520",CDM,"20 912,000",G,"9 760,000",G,
7006702F,SU,10,1.0,"325,000",MM,"260,000",MM,"237,000",MM,"20,027",CDM,"1 307,000",G,"976,000",G,
7006711V,CU,1,1.0,"12,000",MM,"62,000",MM,"185,000",MM,"0,138",CDM,"13,600",G,"12,160",G,
7006711V,PAL,3 780,1.0,"1 200,000",MM,"800,000",MM,"1 719,000",MM,"1 583,040",CDM,"93 400,000",G,"45 964,800",G,
7006711V,PC,1,1.0,"12,000",MM,"62,000",MM,"185,000",MM,"0,138",CDM,"13,600",G,"12,160",G,
7006711V,PLR,540,1.0,"1 170,000",MM,"750,000",MM,"225,000",MM,"206,400",CDM,"9 914,000",G,"6 566,400",G,
7006711V,PLU,4 200,1.0,"1 200,000",MM,"1 000,000",MM,"1 500,000",MM,"1 800,000",CDM,"102 112,000",G,"51 072,000",G,
7006711V,PRU,700,1.0,"1 160,000",MM,"1 000,000",MM,"225,000",MM,"261,000",CDM,"12 852,000",G,"8 512,000",G,
7006711V,SU,20,1.0,"250,000",MM,"130,000",MM,"225,000",MM,"6,988",CDM,"367,200",G,"243,200",G,
7006712E,CU,1,1.0,"37,000",MM,"100,000",MM,"187,000",MM,"0,692",CDM,"60,000",G,"48,800",G,
7006712E,PAL,1 323,1.0,"1 200,000",MM,"800,000",MM,"1 726,000",MM,"1 656,960",CDM,"128 139,000",G,"64 562,400",G,
7006712E,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"48,800",G,
7006712E,PLR,189,1.0,"1 200,000",MM,"800,000",MM,"226,000",MM,"216,960",CDM,"14 877,000",G,"9 223,200",G,
7006712E,PLU,1 470,1.0,"1 200,000",MM,"1 000,000",MM,"1 500,000",MM,"1 800,000",CDM,"140 710,000",G,"71 736,000",G,
7006712E,PRU,245,1.0,"1 160,000",MM,"1 000,000",MM,"226,000",MM,"262,160",CDM,"19 285,000",G,"11 956,000",G,
7006712E,SU,7,1.0,"250,000",MM,"130,000",MM,"226,000",MM,"7,345",CDM,"551,000",G,"341,600",G,
7006713D,CU,1,1.0,"49,000",MM,"100,000",MM,"187,000",MM,"0,916",CDM,"92,400",G,"73,200",G,
7006713D,PAL,945,1.0,"1 200,000",MM,"800,000",MM,"1 726,000",MM,"1 656,960",CDM,"135 983,000",G,"69 174,000",G,
7006713D,PC,1,6.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"73,200",G,
7006713D,PLR,135,1.0,"1 200,000",MM,"800,000",MM,"226,000",MM,"216,960",CDM,"15 998,000",G,"9 882,000",G,
7006713D,SU,5,1.0,"250,000",MM,"130,000",MM,"226,000",MM,"7,345",CDM,"592,500",G,"366,000",G,
7006714F,CU,1,1.0,"63,000",MM,"100,000",MM,"187,000",MM,"1,178",CDM,"114,700",G,"0,136",G,
7006714F,PAL,960,1.0,"1 200,000",MM,"800,000",MM,"1 744,000",MM,"1 674,240",CDM,"108 480,000",G,"130,560",G,
7006714F,PC,1,8.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"0,136",G,
7006714F,PLR,120,1.0,"1 200,000",MM,"800,000",MM,"200,000",MM,"192,000",CDM,"10 560,000",G,"16,320",G,
7006714F,SU,30,1.0,"375,000",MM,"505,000",MM,"200,000",MM,"37,875",CDM,"2 640,000",G,"4,080",G,
7006715R,CU,1,1.0,"45,000",MM,"160,000",MM,"170,000",MM,"1,224",CDM,"150,600",G,"146,400",G,
7006715R,PAL,1 080,1.0,"1 200,000",MM,"800,000",MM,"1 692,000",MM,"174,720",CDM,"203 010,000",G,"158 112,000",G,
7006715R,PC,1,12.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"146,400",G,
